"Embryo_ID","Experiment","Litter","Cellcount","TE_ICM","Treatment","Stage","Background","Gene1","Genotype1","Gene2","Genotype2","icm.count","Identity.man","count","pc.icm"
"032414_G4KO_P6","032414_G4KO_P","P",70,"ICM","Littermate","64_90","CD1/mixed","any","wt","Gata4","het",28,"DP",0,0
"032414_G4KO_P7","032414_G4KO_P","P",82,"ICM","Littermate","64_90","CD1/mixed","any","wt","Gata4","ko",25,"DP",1,4
"032414_G4KO_Q1","032414_G4KO_Q","Q",159,"ICM","Littermate",">150","CD1/mixed","any","wt","Gata4","het",72,"DP",0,0
"032414_G4KO_Q2","032414_G4KO_Q","Q",181,"ICM","Littermate",">150","CD1/mixed","any","wt","Gata4","het",78,"DP",0,0
"032414_G4KO_Q3","032414_G4KO_Q","Q",158,"ICM","Littermate",">150","CD1/mixed","any","wt","Gata4","het",63,"DP",0,0
"032414_G4KO_Q4","032414_G4KO_Q","Q",154,"ICM","Littermate",">150","CD1/mixed","any","wt","Gata4","het",49,"DP",0,0
"032414_G4KO_Q5","032414_G4KO_Q","Q",147,"ICM","Littermate","120_150","CD1/mixed","any","wt","Gata4","het",64,"DP",0,0
"070714_G4KO_S2","070714_G4KO_S","S",172,"ICM","Littermate",">150","CD1/mixed","any","wt","Gata4","wt",73,"DP",0,0
"070714_G4KO_S3","070714_G4KO_S","S",177,"ICM","Littermate",">150","CD1/mixed","any","wt","Gata4","wt",82,"DP",0,0
"070714_G4KO_S4","070714_G4KO_S","S",132,"ICM","Littermate","120_150","CD1/mixed","any","wt","Gata4","wt",46,"DP",0,0
"070714_G4KO_S5","070714_G4KO_S","S",181,"ICM","Littermate",">150","CD1/mixed","any","wt","Gata4","wt",79,"DP",0,0
"120313_G4KO_A10","120313_G4KO_A","A",55,"ICM","Littermate","32_64","CD1/mixed","any","wt","Gata4","het",30,"DP",0,0
"120313_G4KO_A2","120313_G4KO_A","A",62,"ICM","Littermate","32_64","CD1/mixed","any","wt","Gata4","het",32,"DP",0,0
"120313_G4KO_A3","120313_G4KO_A","A",61,"ICM","Littermate","32_64","CD1/mixed","any","wt","Gata4","het",27,"DP",0,0
"120313_G4KO_A4","120313_G4KO_A","A",88,"ICM","Littermate","64_90","CD1/mixed","any","wt","Gata4","het",26,"DP",0,0
"120313_G4KO_A5","120313_G4KO_A","A",61,"ICM","Littermate","32_64","CD1/mixed","any","wt","Gata4","het",28,"DP",0,0
"120313_G4KO_A6","120313_G4KO_A","A",71,"ICM","Littermate","64_90","CD1/mixed","any","wt","Gata4","ko",23,"DP",0,0
"120313_G4KO_A7","120313_G4KO_A","A",64,"ICM","Littermate","64_90","CD1/mixed","any","wt","Gata4","het",32,"DP",0,0
"120313_G4KO_A8","120313_G4KO_A","A",64,"ICM","Littermate","64_90","CD1/mixed","any","wt","Gata4","ko",32,"DP",0,0
"120313_G4KO_A9","120313_G4KO_A","A",62,"ICM","Littermate","32_64","CD1/mixed","any","wt","Gata4","het",25,"DP",0,0
"120513_G4KO_B1","120513_G4KO_B","B",93,"ICM","Littermate","90_120","CD1/mixed","any","wt","Gata4","ko",29,"DP",2,6.89655172413793
"120513_G4KO_B2","120513_G4KO_B","B",96,"ICM","Littermate","90_120","CD1/mixed","any","wt","Gata4","wt",29,"DP",0,0
"120513_G4KO_B3","120513_G4KO_B","B",92,"ICM","Littermate","90_120","CD1/mixed","any","wt","Gata4","het",29,"DP",1,3.44827586206897
"120513_G4KO_B4","120513_G4KO_B","B",98,"ICM","Littermate","90_120","CD1/mixed","any","wt","Gata4","het",34,"DP",2,5.88235294117647
"121613_G4KO_D1","121613_G4KO_D","D",114,"ICM","Littermate","90_120","CD1/mixed","any","wt","Gata4","wt",44,"DP",0,0
"121613_G4KO_D2","121613_G4KO_D","D",98,"ICM","Littermate","90_120","CD1/mixed","any","wt","Gata4","het",32,"DP",3,9.375
"121613_G4KO_D3","121613_G4KO_D","D",107,"ICM","Littermate","90_120","CD1/mixed","any","wt","Gata4","het",41,"DP",3,7.31707317073171
"121613_G4KO_E1","121613_G4KO_E","E",55,"ICM","Control","32_64","CD1/mixed","any","wt","Gata4","het",16,"DP",0,0
"121613_G4KO_E10","121613_G4KO_E","E",102,"ICM","Control","90_120","CD1/mixed","any","wt","Gata4","het",29,"DP",0,0
"121613_G4KO_E11","121613_G4KO_E","E",90,"ICM","Control","90_120","CD1/mixed","any","wt","Gata4","het",21,"DP",0,0
"121613_G4KO_E2","121613_G4KO_E","E",100,"ICM","Control","90_120","CD1/mixed","any","wt","Gata4","het",38,"DP",0,0
"121613_G4KO_E3","121613_G4KO_E","E",99,"ICM","Control","90_120","CD1/mixed","any","wt","Gata4","het",16,"DP",0,0
"121613_G4KO_E4","121613_G4KO_E","E",110,"ICM","Control","90_120","CD1/mixed","any","wt","Gata4","het",36,"DP",0,0
"121613_G4KO_E5","121613_G4KO_E","E",119,"ICM","Control","90_120","CD1/mixed","any","wt","Gata4","het",34,"DP",0,0
"121613_G4KO_E6","121613_G4KO_E","E",122,"ICM","Control","120_150","CD1/mixed","any","wt","Gata4","ko",34,"DP",0,0
"121613_G4KO_E7","121613_G4KO_E","E",121,"ICM","Control","120_150","CD1/mixed","any","wt","Gata4","het",32,"DP",0,0
"121613_G4KO_E8","121613_G4KO_E","E",97,"ICM","Control","90_120","CD1/mixed","any","wt","Gata4","het",19,"DP",0,0
"121613_G4KO_E9","121613_G4KO_E","E",107,"ICM","Control","90_120","CD1/mixed","any","wt","Gata4","ko",32,"DP",0,0
"012515_G4KO_AKAL1","012515_G4KO_AK-AL","AK-AL",168,"ICM","Diapause",">150","CD1/mixed","any","wt","Gata4","ko",48,"EPI",27,56.25
"012515_G4KO_AKAL10","012515_G4KO_AK-AL","AK-AL",162,"ICM","Diapause",">150","CD1/mixed","any","wt","Gata4","het",53,"EPI",24,45.2830188679245
"012515_G4KO_AKAL2","012515_G4KO_AK-AL","AK-AL",176,"ICM","Diapause",">150","CD1/mixed","any","wt","Gata4","het",52,"EPI",23,44.2307692307692
"012515_G4KO_AKAL3","012515_G4KO_AK-AL","AK-AL",165,"ICM","Diapause",">150","CD1/mixed","any","wt","Gata4","het",58,"EPI",29,50
"012515_G4KO_AKAL4","012515_G4KO_AK-AL","AK-AL",177,"ICM","Diapause",">150","CD1/mixed","any","wt","Gata4","het",59,"EPI",28,47.4576271186441
"012515_G4KO_AKAL5","012515_G4KO_AK-AL","AK-AL",169,"ICM","Diapause",">150","CD1/mixed","any","wt","Gata4","het",51,"EPI",25,49.0196078431373
"012515_G4KO_AKAL6","012515_G4KO_AK-AL","AK-AL",141,"ICM","Diapause","120_150","CD1/mixed","any","wt","Gata4","wt",42,"EPI",20,47.6190476190476
"012515_G4KO_AKAL7","012515_G4KO_AK-AL","AK-AL",156,"ICM","Diapause",">150","CD1/mixed","any","wt","Gata4","ko",37,"EPI",20,54.0540540540541
"012515_G4KO_AKAL8","012515_G4KO_AK-AL","AK-AL",160,"ICM","Diapause",">150","CD1/mixed","any","wt","Gata4","wt",46,"EPI",22,47.8260869565217
"012515_G4KO_AKAL9","012515_G4KO_AK-AL","AK-AL",157,"ICM","Diapause",">150","CD1/mixed","any","wt","Gata4","wt",42,"EPI",12,28.5714285714286
"013115_G4KO_AM1","013115_G4KO_AM","AM",166,"ICM","Diapause",">150","CD1/mixed","any","wt","Gata4","het",48,"EPI",24,50
"013115_G4KO_AM2","013115_G4KO_AM","AM",157,"ICM","Diapause",">150","CD1/mixed","any","wt","Gata4","ko",40,"EPI",27,67.5
"013115_G4KO_AM3","013115_G4KO_AM","AM",168,"ICM","Diapause",">150","CD1/mixed","any","wt","Gata4","het",56,"EPI",23,41.0714285714286
"020314_G4KO_F1","020314_G4KO_F","F",97,"ICM","Control","90_120","CD1/mixed","any","wt","Gata4","ko",27,"EPI",13,48.1481481481481
"020314_G4KO_F2","020314_G4KO_F","F",57,"ICM","Control","32_64","CD1/mixed","any","wt","Gata4","ko",18,"EPI",9,50
"020314_G4KO_F3","020314_G4KO_F","F",110,"ICM","Control","90_120","CD1/mixed","any","wt","Gata4","ko",30,"EPI",17,56.6666666666667
"020314_G4KO_F4","020314_G4KO_F","F",100,"ICM","Control","90_120","CD1/mixed","any","wt","Gata4","wt",29,"EPI",9,31.0344827586207
"020314_G4KO_F5","020314_G4KO_F","F",113,"ICM","Control","90_120","CD1/mixed","any","wt","Gata4","het",41,"EPI",22,53.6585365853659
"020314_G4KO_F6","020314_G4KO_F","F",87,"ICM","Control","64_90","CD1/mixed","any","wt","Gata4","wt",34,"EPI",11,32.3529411764706
"020314_G4KO_H1","020314_G4KO_H","H",71,"ICM","Littermate","64_90","CD1/mixed","any","wt","Gata4","het",31,"EPI",13,41.9354838709677
"020314_G4KO_H2","020314_G4KO_H","H",68,"ICM","Littermate","64_90","CD1/mixed","any","wt","Gata4","wt",31,"EPI",13,41.9354838709677
"020314_G4KO_H3","020314_G4KO_H","H",66,"ICM","Littermate","64_90","CD1/mixed","any","wt","Gata4","wt",23,"EPI",9,39.1304347826087
"020314_G4KO_H4","020314_G4KO_H","H",58,"ICM","Littermate","32_64","CD1/mixed","any","wt","Gata4","wt",24,"EPI",8,33.3333333333333
"020314_G4KO_H5","020314_G4KO_H","H",93,"ICM","Littermate","90_120","CD1/mixed","any","wt","Gata4","het",35,"EPI",12,34.2857142857143
"020314_G4KO_H6","020314_G4KO_H","H",65,"ICM","Littermate","64_90","CD1/mixed","any","wt","Gata4","het",31,"EPI",10,32.258064516129
"020314_G4KO_H7","020314_G4KO_H","H",81,"ICM","Littermate","64_90","CD1/mixed","any","wt","Gata4","het",25,"EPI",7,28
"020314_G4KO_H8","020314_G4KO_H","H",65,"ICM","Littermate","64_90","CD1/mixed","any","wt","Gata4","het",26,"EPI",9,34.6153846153846
"021814_G4KO_I1","021814_G4KO_I","I",262,"ICM","Littermate",">150","CD1/mixed","any","wt","Gata4","het",114,"EPI",50,43.859649122807
"021814_G4KO_I2","021814_G4KO_I","I",188,"ICM","Littermate",">150","CD1/mixed","any","wt","Gata4","ko",79,"EPI",36,45.5696202531646
