"Embryo_ID","Identity.hc","lin.count","Litter","Experiment","Treatment","Embryo_size","TE_ICM","Cellcount","icm.count","H_genotype","D_genotype","t0.donor","donor.end","cell_type","lin.type","pc.lin"
"011217Xim_WT_AC3","PRE",4,"AC","011217Xim_WT_AC","Chimera","Single","ICM",77,12,"wt","CAG:H2B-GFP",75,"[80,100]","host",0,0
"011217Xim_WT_AC3","PRE",4,"AC","011217Xim_WT_AC","Chimera","Single","ICM",77,12,"wt","CAG:H2B-GFP",75,"[80,100]","donor",4,100
"011217Xim_WT_AC3","TE",65,"AC","011217Xim_WT_AC","Chimera","Single","TE",77,12,"wt","CAG:H2B-GFP",75,"[80,100]","host",13,20
"011217Xim_WT_AC3","TE",65,"AC","011217Xim_WT_AC","Chimera","Single","TE",77,12,"wt","CAG:H2B-GFP",75,"[80,100]","donor",52,80
"011217Xim_WT_AC4","DP",1,"AC","011217Xim_WT_AC","Chimera","Single","ICM",74,7,"wt","CAG:H2B-GFP",75,"[80,100]","host",0,0
"011217Xim_WT_AC4","DP",1,"AC","011217Xim_WT_AC","Chimera","Single","ICM",74,7,"wt","CAG:H2B-GFP",75,"[80,100]","donor",1,100
"011217Xim_WT_AC4","EPI",2,"AC","011217Xim_WT_AC","Chimera","Single","ICM",74,7,"wt","CAG:H2B-GFP",75,"[80,100]","donor",1,50
"011217Xim_WT_AC4","EPI",2,"AC","011217Xim_WT_AC","Chimera","Single","ICM",74,7,"wt","CAG:H2B-GFP",75,"[80,100]","host",1,50
"011217Xim_WT_AC4","PRE",4,"AC","011217Xim_WT_AC","Chimera","Single","ICM",74,7,"wt","CAG:H2B-GFP",75,"[80,100]","host",0,0
"011217Xim_WT_AC4","PRE",4,"AC","011217Xim_WT_AC","Chimera","Single","ICM",74,7,"wt","CAG:H2B-GFP",75,"[80,100]","donor",4,100
"011217Xim_WT_AC4","TE",67,"AC","011217Xim_WT_AC","Chimera","Single","TE",74,7,"wt","CAG:H2B-GFP",75,"[80,100]","host",29,43.2835820895522
"011217Xim_WT_AC4","TE",67,"AC","011217Xim_WT_AC","Chimera","Single","TE",74,7,"wt","CAG:H2B-GFP",75,"[80,100]","donor",38,56.7164179104478
"011217Xim_WT_AC5","DP",5,"AC","011217Xim_WT_AC","Chimera","Single","ICM",96,9,"wt","CAG:H2B-GFP",75,"[80,100]","host",0,0
"011217Xim_WT_AC5","DP",5,"AC","011217Xim_WT_AC","Chimera","Single","ICM",96,9,"wt","CAG:H2B-GFP",75,"[80,100]","donor",5,100
"011217Xim_WT_AC5","EPI",4,"AC","011217Xim_WT_AC","Chimera","Single","ICM",96,9,"wt","CAG:H2B-GFP",75,"[80,100]","donor",4,100
"011217Xim_WT_AC5","EPI",4,"AC","011217Xim_WT_AC","Chimera","Single","ICM",96,9,"wt","CAG:H2B-GFP",75,"[80,100]","host",0,0
"011217Xim_WT_AC5","TE",87,"AC","011217Xim_WT_AC","Chimera","Single","TE",96,9,"wt","CAG:H2B-GFP",75,"[80,100]","donor",74,85.0574712643678
"011217Xim_WT_AC5","TE",87,"AC","011217Xim_WT_AC","Chimera","Single","TE",96,9,"wt","CAG:H2B-GFP",75,"[80,100]","host",13,14.9425287356322
"011317Xim_WT_AD1","EPI",5,"AD","011317Xim_WT_AD","Chimera","Single","ICM",59,9,"wt","CAG:H2B-GFP",75,"[80,100]","host",1,20
"011317Xim_WT_AD1","EPI",5,"AD","011317Xim_WT_AD","Chimera","Single","ICM",59,9,"wt","CAG:H2B-GFP",75,"[80,100]","donor",4,80
"011317Xim_WT_AD1","PRE",4,"AD","011317Xim_WT_AD","Chimera","Single","ICM",59,9,"wt","CAG:H2B-GFP",75,"[80,100]","host",0,0
"011317Xim_WT_AD1","PRE",4,"AD","011317Xim_WT_AD","Chimera","Single","ICM",59,9,"wt","CAG:H2B-GFP",75,"[80,100]","donor",4,100
"011317Xim_WT_AD1","TE",50,"AD","011317Xim_WT_AD","Chimera","Single","TE",59,9,"wt","CAG:H2B-GFP",75,"[80,100]","host",20,40
"011317Xim_WT_AD1","TE",50,"AD","011317Xim_WT_AD","Chimera","Single","TE",59,9,"wt","CAG:H2B-GFP",75,"[80,100]","donor",30,60
"011317Xim_WT_AD2","DP",1,"AD","011317Xim_WT_AD","Chimera","Single","ICM",42,8,"wt","CAG:H2B-GFP",75,"[80,100]","donor",1,100
"011317Xim_WT_AD2","DP",1,"AD","011317Xim_WT_AD","Chimera","Single","ICM",42,8,"wt","CAG:H2B-GFP",75,"[80,100]","host",0,0
"011317Xim_WT_AD2","EPI",6,"AD","011317Xim_WT_AD","Chimera","Single","ICM",42,8,"wt","CAG:H2B-GFP",75,"[80,100]","donor",6,100
"011317Xim_WT_AD2","EPI",6,"AD","011317Xim_WT_AD","Chimera","Single","ICM",42,8,"wt","CAG:H2B-GFP",75,"[80,100]","host",0,0
"011317Xim_WT_AD2","PRE",1,"AD","011317Xim_WT_AD","Chimera","Single","ICM",42,8,"wt","CAG:H2B-GFP",75,"[80,100]","donor",1,100
"011317Xim_WT_AD2","PRE",1,"AD","011317Xim_WT_AD","Chimera","Single","ICM",42,8,"wt","CAG:H2B-GFP",75,"[80,100]","host",0,0
"011317Xim_WT_AD2","TE",34,"AD","011317Xim_WT_AD","Chimera","Single","TE",42,8,"wt","CAG:H2B-GFP",75,"[80,100]","donor",34,100
"011317Xim_WT_AD2","TE",34,"AD","011317Xim_WT_AD","Chimera","Single","TE",42,8,"wt","CAG:H2B-GFP",75,"[80,100]","host",0,0
"011317Xim_WT_AD3","EPI",2,"AD","011317Xim_WT_AD","Chimera","Single","ICM",58,6,"wt","CAG:H2B-GFP",75,"[80,100]","host",0,0
"011317Xim_WT_AD3","EPI",2,"AD","011317Xim_WT_AD","Chimera","Single","ICM",58,6,"wt","CAG:H2B-GFP",75,"[80,100]","donor",2,100
"011317Xim_WT_AD3","PRE",4,"AD","011317Xim_WT_AD","Chimera","Single","ICM",58,6,"wt","CAG:H2B-GFP",75,"[80,100]","donor",4,100
"011317Xim_WT_AD3","PRE",4,"AD","011317Xim_WT_AD","Chimera","Single","ICM",58,6,"wt","CAG:H2B-GFP",75,"[80,100]","host",0,0
"011317Xim_WT_AD3","TE",52,"AD","011317Xim_WT_AD","Chimera","Single","TE",58,6,"wt","CAG:H2B-GFP",75,"[80,100]","host",0,0
"011317Xim_WT_AD3","TE",52,"AD","011317Xim_WT_AD","Chimera","Single","TE",58,6,"wt","CAG:H2B-GFP",75,"[80,100]","donor",52,100
"011317Xim_WT_AD4","EPI",7,"AD","011317Xim_WT_AD","Chimera","Single","ICM",79,14,"wt","CAG:H2B-GFP",75,"[60,80)","host",1,14.2857142857143
"011317Xim_WT_AD4","EPI",7,"AD","011317Xim_WT_AD","Chimera","Single","ICM",79,14,"wt","CAG:H2B-GFP",75,"[60,80)","donor",6,85.7142857142857
"011317Xim_WT_AD4","EPI.lo",2,"AD","011317Xim_WT_AD","Chimera","Single","ICM",79,14,"wt","CAG:H2B-GFP",75,"[60,80)","donor",2,100
"011317Xim_WT_AD4","EPI.lo",2,"AD","011317Xim_WT_AD","Chimera","Single","ICM",79,14,"wt","CAG:H2B-GFP",75,"[60,80)","host",0,0
"011317Xim_WT_AD4","PRE",5,"AD","011317Xim_WT_AD","Chimera","Single","ICM",79,14,"wt","CAG:H2B-GFP",75,"[60,80)","donor",3,60
"011317Xim_WT_AD4","PRE",5,"AD","011317Xim_WT_AD","Chimera","Single","ICM",79,14,"wt","CAG:H2B-GFP",75,"[60,80)","host",2,40
"011317Xim_WT_AD4","TE",65,"AD","011317Xim_WT_AD","Chimera","Single","TE",79,14,"wt","CAG:H2B-GFP",75,"[60,80)","donor",51,78.4615384615385
"011317Xim_WT_AD4","TE",65,"AD","011317Xim_WT_AD","Chimera","Single","TE",79,14,"wt","CAG:H2B-GFP",75,"[60,80)","host",14,21.5384615384615
"011317Xim_WT_AD5","EPI",8,"AD","011317Xim_WT_AD","Chimera","Single","ICM",96,17,"wt","CAG:H2B-GFP",75,"[80,100]","host",0,0
"011317Xim_WT_AD5","EPI",8,"AD","011317Xim_WT_AD","Chimera","Single","ICM",96,17,"wt","CAG:H2B-GFP",75,"[80,100]","donor",8,100
"011317Xim_WT_AD5","PRE",9,"AD","011317Xim_WT_AD","Chimera","Single","ICM",96,17,"wt","CAG:H2B-GFP",75,"[80,100]","host",2,22.2222222222222
"011317Xim_WT_AD5","PRE",9,"AD","011317Xim_WT_AD","Chimera","Single","ICM",96,17,"wt","CAG:H2B-GFP",75,"[80,100]","donor",7,77.7777777777778
"011317Xim_WT_AD5","TE",79,"AD","011317Xim_WT_AD","Chimera","Single","TE",96,17,"wt","CAG:H2B-GFP",75,"[80,100]","host",24,30.379746835443
"011317Xim_WT_AD5","TE",79,"AD","011317Xim_WT_AD","Chimera","Single","TE",96,17,"wt","CAG:H2B-GFP",75,"[80,100]","donor",55,69.620253164557
"011317Xim_WT_AD6","EPI",5,"AD","011317Xim_WT_AD","Chimera","Single","ICM",62,13,"wt","CAG:H2B-GFP",75,"[60,80)","host",0,0
"011317Xim_WT_AD6","EPI",5,"AD","011317Xim_WT_AD","Chimera","Single","ICM",62,13,"wt","CAG:H2B-GFP",75,"[60,80)","donor",5,100
