"Exp_date","Embryo_ID","Litter","Genotype1","Stage.t0","Cellcount","Treatment","ES_culture","ESC_line","ESC_genotype","icm.count","D_cells","EPI","ESC","PRE","esc.end"
20181026,"102618Xim_F4_CT3","CT","fl/ko","blastocyst",107,"Control","2i/LIF","H2B-tdTomato","no.esc",35,"0",23,0,12,"0"
20181029,"102918Xim_F4_CU1","CU","ko","8cell",131,"Control","2i/LIF","H2B-tdTomato","no.esc",44,"0",0,0,44,"0"
20181029,"102918Xim_F4_CU2","CU","fl/ko","8cell",41,"Control","2i/LIF","H2B-tdTomato","no.esc",7,"0",0,0,7,"0"
20181029,"102918Xim_F4_CU3","CU","fl/ko","8cell",122,"Control","2i/LIF","H2B-tdTomato","no.esc",25,"0",10,0,15,"0"
20181029,"102918Xim_F4_CU4","CU","ko","8cell",86,"Chimera","2i/LIF","H2B-tdTomato","wt",21,"2",0,0,21,"0"
20181029,"102918Xim_F4_CV1","CV","ko","8cell",131,"Control","S/LIF","H2B-tdTomato","no.esc",33,"0",33,0,0,"0"
20181029,"102918Xim_F4_CV2","CV","unknown","8cell",99,"Control","S/LIF","H2B-tdTomato","no.esc",7,"0",0,0,7,"0"
20181114,"111418Xim_F4_CY2","CY","ko","8cell",136,"Control","S/LIF","H2B-tdTomato","no.esc",35,"0",30,0,0,"0"
20181114,"111418Xim_F4_CY5","CY","ko","8cell",125,"Chimera","2i/LIF","H2B-tdTomato","wt",37,"1",35,0,1,"0"
20181114,"111418Xim_F4_CY6","CY","ko","8cell",136,"Chimera","2i/LIF","H2B-tdTomato","wt",49,"1",48,0,1,"0"
20181114,"111418Xim_WT_CW1","CW","wt","8cell",118,"Control","S/LIF","H2B-tdTomato","no.esc",11,"0",7,0,4,"0"
20181114,"111418Xim_WT_CW11","CW","wt","8cell",107,"Chimera","S/LIF","H2B-tdTomato","wt",24,"1",12,0,9,"0"
20181114,"111418Xim_WT_CW2","CW","wt","8cell",112,"Control","S/LIF","H2B-tdTomato","no.esc",10,"0",4,0,4,"0"
20181114,"111418Xim_WT_CW3","CW","wt","8cell",112,"Control","S/LIF","H2B-tdTomato","no.esc",18,"0",11,0,7,"0"
20181114,"111418Xim_WT_CW4","CW","wt","8cell",121,"Control","S/LIF","H2B-tdTomato","no.esc",15,"0",9,0,6,"0"
20181114,"111418Xim_WT_CW8","CW","wt","8cell",132,"Chimera","S/LIF","H2B-tdTomato","wt",13,"1",3,0,4,"0"
20181114,"111418Xim_WT_CW9","CW","wt","8cell",130,"Chimera","S/LIF","H2B-tdTomato","wt",20,"1",7,0,12,"0"
20181114,"111418Xim_WT_CX1","CX","wt","8cell",131,"Control","S/LIF","H2B-tdTomato","no.esc",20,"0",5,0,15,"0"
20181114,"111418Xim_WT_CX2","CX","wt","8cell",120,"Control","S/LIF","H2B-tdTomato","no.esc",22,"0",6,0,16,"0"
20181114,"111418Xim_WT_CX3","CX","wt","8cell",126,"Control","S/LIF","H2B-tdTomato","no.esc",24,"0",11,0,13,"0"
20181127,"112718Xim_F4_DC1","DC","ko","8cell",147,"Control","S/LIF","CAG:H2B-GFP","no.esc",37,"0",36,0,1,"0"
20181127,"112718Xim_F4_DC3","DC","fl/ko","8cell",138,"Chimera","S/LIF","CAG:H2B-GFP","wt",25,"2",16,0,6,"0"
20181127,"112718Xim_F4_DC4","DC","ko","8cell",150,"Chimera","S/LIF","CAG:H2B-GFP","wt",36,"2",36,0,0,"0"
20181127,"112718Xim_F4_DC6","DC","ko","8cell",133,"Chimera","S/LIF","CAG:H2B-GFP","wt",42,"4",40,0,0,"0"
20181127,"112718Xim_F4_DD1","DD","ko","8cell",103,"Control","2i/LIF","CAG:H2B-GFP","no.esc",45,"0",44,0,1,"0"
