"Experiment","Litter","Embryo_ID","Exp_date","Img_date","Cellcount","TE_ICM","Treatment","Stage","Background","Gene1","Genotype1","Gene2","Genotype2","icm.count","litter.median","Identity.hc","count","pc.icm"
"121118G6NG_AO","AO","121118G6NG_AO2",20181211,20181213,107,"ICM","Littermate","90_120","CD1/mixed","Gata6","het","Nanog","wt",30,154,"DN",0,0
"121118G6NG_AO","AO","121118G6NG_AO4",20181211,20181213,154,"ICM","Littermate",">150","CD1/mixed","Gata6","het","Nanog","het",55,154,"DN",0,0
"121118G6NG_AP","AP","121118G6NG_AP1",20181211,20181213,144,"ICM","Littermate","120_150","CD1/mixed","Gata6","het","Nanog","het",44,143,"DN",0,0
"121118G6NG_AP","AP","121118G6NG_AP2",20181211,20181213,153,"ICM","Littermate",">150","CD1/mixed","Gata6","wt","Nanog","het",49,143,"DN",0,0
"121118G6NG_AP","AP","121118G6NG_AP3",20181211,20181213,143,"ICM","Littermate","120_150","CD1/mixed","Gata6","het","Nanog","wt",43,143,"DN",0,0
"121118G6NG_AP","AP","121118G6NG_AP4",20181211,20181213,133,"ICM","Littermate","120_150","CD1/mixed","Gata6","wt","Nanog","wt",53,143,"DN",7,13.2075471698113
"121118G6NG_AP","AP","121118G6NG_AP5",20181211,20181213,134,"ICM","Littermate","120_150","CD1/mixed","Gata6","wt","Nanog","het",25,143,"DN",0,0
"121118G6NG_AP","AP","121118G6NG_AP6",20181211,20181213,129,"ICM","Littermate","120_150","CD1/mixed","Gata6","het","Nanog","het",21,143,"DN",0,0
"122017G6G4_O","O","122017G6G4_O1",20171220,20171222,146,"ICM","Littermate","120_150","CD1/mixed","Gata6","het","Gata4","het",48,171,"DN",0,0
"122017G6G4_O","O","122017G6G4_O3",20171220,20171222,171,"ICM","Littermate",">150","CD1/mixed","Gata6","het","Gata4","wt",53,171,"DN",0,0
"011618G6G4_P","P","011618G6G4_P1",20180116,20180124,138,"ICM","Littermate","120_150","CD1/mixed","Gata6","het","Gata4","ko",50,125,"DP",0,0
"011618G6G4_P","P","011618G6G4_P2",20180116,20180124,104,"ICM","Littermate","90_120","CD1/mixed","Gata6","wt","Gata4","het",26,125,"DP",0,0
"011618G6G4_P","P","011618G6G4_P3",20180116,20180124,104,"ICM","Littermate","90_120","CD1/mixed","Gata6","het","Gata4","ko",30,125,"DP",0,0
"011618G6G4_P","P","011618G6G4_P4",20180116,20180124,125,"ICM","Littermate","120_150","CD1/mixed","Gata6","wt","Gata4","het",39,125,"DP",0,0
"021618G6G4_R","R","021618G6G4_R1",20180216,20180305,195,"ICM","Littermate",">150","CD1/mixed","Gata6","wt","Gata4","ko",84,195,"DP",0,0
"021618G6G4_R","R","021618G6G4_R2",20180216,20180305,174,"ICM","Littermate",">150","CD1/mixed","Gata6","wt","Gata4","ko",70,195,"DP",0,0
