"Experiment","Litter","Embryo_ID","Treatment","Cellcount","TE_ICM","icm.count","H_genotype","D_genotype","Embryo_size","t0.donor","donor.end","Identity.hc","lin.count","pc.icm"
"041318Xim_G6_AW","AW","041318Xim_G6_AW14","Chimera",75,"ICM",13,"het","CAG:H2B-GFP","Single",50,"[60,80)","PRE",5,38.4615384615385
"041318Xim_G6_AW","AW","041318Xim_G6_AW15","Chimera",84,"ICM",30,"mosaic","CAG:H2B-GFP","Single",50,"[40,60)","PRE",16,53.3333333333333
"041318Xim_G6_AW","AW","041318Xim_G6_AW16","Chimera",75,"ICM",29,"mosaic","CAG:H2B-GFP","Single",50,"[40,60)","PRE",14,48.2758620689655
"041318Xim_G6_AW","AW","041318Xim_G6_AW17","Chimera",96,"ICM",20,"het","CAG:H2B-GFP","Single",50,"[60,80)","PRE",8,40
"041318Xim_G6_AW","AW","041318Xim_G6_AW18","Chimera",86,"ICM",25,"mosaic","CAG:H2B-GFP","Single",50,"[20,40)","PRE",11,44
"041318Xim_G6_AW","AW","041318Xim_G6_AW19","Chimera",97,"ICM",31,"het","CAG:H2B-GFP","Single",50,"[80,100]","PRE",14,45.1612903225806
"041318Xim_G6_AW","AW","041318Xim_G6_AW2","Control",97,"ICM",25,"CAG:H2B-GFP","0","Single",0,"[0,20)","PRE",6,24
"041318Xim_G6_AW","AW","041318Xim_G6_AW20","Chimera",92,"ICM",32,"mosaic","CAG:H2B-GFP","Single",50,"[60,80)","PRE",18,56.25
"041318Xim_G6_AW","AW","041318Xim_G6_AW21","Chimera",103,"ICM",29,"mosaic","CAG:H2B-GFP","Single",50,"[80,100]","PRE",12,41.3793103448276
"041318Xim_G6_AW","AW","041318Xim_G6_AW22","Chimera",155,"ICM",68,"ko","CAG:H2B-GFP","Double",50,"[60,80)","PRE",35,51.4705882352941
"041318Xim_G6_AW","AW","041318Xim_G6_AW23","Chimera",152,"ICM",62,"het","CAG:H2B-GFP","Double",50,"[60,80)","PRE",27,43.5483870967742
