"Experiment","Litter","Embryo_ID","Exp_date","Img_date","Cellcount","TE_ICM","Treatment","target","Recovery","Background","Gene1","Genotype1","Gene2","Genotype2","icm.count","group.median","litter.median.t0","Cell_diff","Stage.t0","Cellcount_t0","Identity.hc","count","Gene3","Genotype3","target_t0","pc.icm"
"013118Abl_CNb.Littermate.Pdgfra.wt","CN","013118Abl_CN6",20180131,20180207,114,"ICM","Littermate","none","0min","CD1/mixed","Pdgfra","wt","R26","wt",34,114,110,"zero","[110,130)",114,"PRE",12,NA,NA,NA,35.2941176470588
"013118Abl_CNb.Littermate.Pdgfra.wt","CN","013118Abl_CN7",20180131,20180207,110,"ICM","Littermate","none","0min","CD1/mixed","Pdgfra","wt","R26","wt",31,114,110,"zero","[110,130)",110,"PRE",13,NA,NA,NA,41.9354838709677
"020618Abl_CQ.Littermate.Pdgfra.wt","CQ","020618Abl_CQ10",20180206,20180209,99,"ICM","Littermate","none","0min","CD1/mixed","Pdgfra","wt","R26","wt",35,99,99,"zero","[90,110)",99,"PRE",14,NA,NA,NA,40
"020618Abl_CQ.Littermate.Pdgfra.wt","CQ","020618Abl_CQ11",20180206,20180209,88,"ICM","Littermate","none","0min","CD1/mixed","Pdgfra","wt","R26","wt",33,99,99,"zero","[90,110)",88,"PRE",16,NA,NA,NA,48.4848484848485
"020618Abl_CQ.Littermate.Pdgfra.wt","CQ","020618Abl_CQ12",20180206,20180209,109,"ICM","Littermate","none","0min","CD1/mixed","Pdgfra","wt","R26","wt",37,99,99,"zero","[90,110)",109,"PRE",13,NA,NA,NA,35.1351351351351
"020618Abl_CQ.Littermate.Pdgfra.wt","CQ","020618Abl_CQ8",20180206,20180209,94,"ICM","Littermate","none","0min","CD1/mixed","Pdgfra","wt","R26","wt",29,99,99,"zero","[90,110)",94,"PRE",7,NA,NA,NA,24.1379310344828
"020618Abl_CQ.Littermate.Pdgfra.wt","CQ","020618Abl_CQ9",20180206,20180209,105,"ICM","Littermate","none","0min","CD1/mixed","Pdgfra","wt","R26","wt",35,99,99,"zero","[90,110)",105,"PRE",20,NA,NA,NA,57.1428571428571
"021119Abl_EK.Ablated.Pdgfra.het","EK","021119Abl_EK1",20190211,20190214,112,"ICM","Ablated","PRE","24h","CD1/mixed","Pdgfra","het","R26","mKate/+",18,86,83,"kill_all","[70,90)",107,"PRE",5,NA,NA,NA,27.7777777777778
"021119Abl_EK.Ablated.Pdgfra.het","EK","021119Abl_EK2",20190211,20190214,80,"ICM","Ablated","PRE","24h","CD1/mixed","Pdgfra","het","R26","mKate/+",22,86,83,"kill_all","[70,90)",83,"PRE",8,NA,NA,NA,36.3636363636364
"021119Abl_EK.Ablated.Pdgfra.het","EK","021119Abl_EK3",20190211,20190214,86,"ICM","Ablated","PRE","24h","CD1/mixed","Pdgfra","het","R26","mKate/+",17,86,83,"kill_all","[70,90)",68,"PRE",4,NA,NA,NA,23.5294117647059
"021119Abl_EK.Random.Pdgfra.wt","EK","021119Abl_EK4",20190211,20190214,122,"ICM","Random","PRE","24h","CD1/mixed","Pdgfra","wt","R26","mKate/+",39,121,83,"kill_all","[70,90)",89,"PRE",23,NA,NA,NA,58.974358974359
"021119Abl_EK.Random.Pdgfra.wt","EK","021119Abl_EK5",20190211,20190214,117,"ICM","Random","PRE","24h","CD1/mixed","Pdgfra","wt","R26","mKate/+",42,121,83,"kill_all","[70,90)",77,"PRE",20,NA,NA,NA,47.6190476190476
"021119Abl_EK.Random.Pdgfra.wt","EK","021119Abl_EK6",20190211,20190214,121,"ICM","Random","PRE","24h","CD1/mixed","Pdgfra","wt","R26","mKate/+",29,121,83,"kill_all","[70,90)",83,"PRE",21,NA,NA,NA,72.4137931034483
"021119Abl_EK.Random.Pdgfra.wt","EK","021119Abl_EK7",20190211,20190214,116,"ICM","Random","PRE","24h","CD1/mixed","Pdgfra","wt","R26","mKate/+",43,121,83,"kill_all","[70,90)",74,"PRE",25,NA,NA,NA,58.1395348837209
"021119Abl_EM.Ablated.Pdgfra.het","EM","021119Abl_EM1",20190211,20190214,66,"ICM","Ablated","EPI","24h","CD1/mixed","Pdgfra","het","R26","mKate/mKate",13,77,80,"kill_0.5","[70,90)",99,"PRE",7,NA,NA,NA,53.8461538461538
"021119Abl_EM.Ablated.Pdgfra.het","EM","021119Abl_EM2",20190211,20190214,77,"ICM","Ablated","EPI","24h","CD1/mixed","Pdgfra","het","R26","mKate/mKate",17,77,80,"kill_0.75","[70,90)",61,"PRE",13,NA,NA,NA,76.4705882352941
"021119Abl_EM.Random.Pdgfra.wt","EM","021119Abl_EM3",20190211,20190214,111,"ICM","Random","EPI","24h","CD1/mixed","Pdgfra","wt","R26","mKate/mKate",21,109,80,"kill_all","[70,90)",95,"PRE",16,NA,NA,NA,76.1904761904762
