Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
121118G6NG_AO1,116,TE,I,5602,171.14,80.532,49.469,486.76,2.73E+06,58.096,3.25E+05,20.757,1.16E+05,1561,8.74E+06,61.944,3.47E+05,
121118G6NG_AO1,117,ICM,I,3664,180.99,142.12,49.189,394.18,1.44E+06,15.046,55128,26.812,98238,1558.6,5.71E+06,303.63,1.11E+06,
121118G6NG_AO1,118,TE,I,4118,367,233.26,52.219,425.96,1.75E+06,28.673,1.18E+05,17.75,73093,1477.9,6.09E+06,36.058,1.48E+05,
121118G6NG_AO1,119,ICM,I,12659,165.2,261.92,52.326,293.29,3.71E+06,46.513,5.89E+05,17.401,2.20E+05,1483.7,1.88E+07,40.79,5.16E+05,
121118G6NG_AO1,120,ICM,I,2711,220.16,90.933,52.191,496.51,1.35E+06,15.39,41722,24.942,67619,1400.9,3.80E+06,498.02,1.35E+06,
121118G6NG_AO1,121,TE,I,15334,341.65,413.47,57.933,602.11,9.23E+06,35.134,5.39E+05,16.882,2.59E+05,1800.7,2.76E+07,41.688,6.39E+05,
121118G6NG_AO1,122,TE,I,9160,278.23,434.98,53.169,446.67,4.09E+06,15.416,1.41E+05,15.113,1.38E+05,1554.2,1.42E+07,30.744,2.82E+05,
121118G6NG_AO1,123,TE,I,15065,316.89,64.361,54.704,661.86,9.97E+06,22.695,3.42E+05,14.987,2.26E+05,1516.3,2.28E+07,33.154,4.99E+05,
121118G6NG_AO1,124,TE,I,14584,169.44,331.53,56.128,450.94,6.58E+06,23.201,3.38E+05,14.348,2.09E+05,1674.1,2.44E+07,28.991,4.23E+05,
121118G6NG_AO1,125,TE,I,7840,353.22,368.47,56.935,459.88,3.61E+06,28.101,2.20E+05,15.688,1.23E+05,1496.9,1.17E+07,34.172,2.68E+05,
