Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg, CH5-Sum, 
121118G6NG_AP2,35,ICM,I,4330,103.5,269.51,18.185,1333.7,5.78E+06,30.573,1.32E+05,419.88,1.82E+06,1676.8,7.26E+06,76.091,3.29E+05,
121118G6NG_AP2,36,TE,I,7892,261.9,176.89,21.071,1828.3,1.44E+07,97.507,7.70E+05,24.808,1.96E+05,1637.3,1.29E+07,81.521,6.43E+05,
121118G6NG_AP2,37,TE,I,4673,114.11,158.11,22.11,1742.7,8.14E+06,182.83,8.54E+05,26.42,1.23E+05,1625.4,7.60E+06,84.162,3.93E+05,
121118G6NG_AP2,38,ICM,M,3829,196.79,335.29,21.679,1539.7,5.90E+06,20.838,79789,27.221,1.04E+05,1663.7,6.37E+06,415.8,1.59E+06,
121118G6NG_AP2,39,ICM,I,5588,108.47,235.85,21.031,1219,6.81E+06,19.329,1.08E+05,255.87,1.43E+06,1745.7,9.76E+06,76.262,4.26E+05,
121118G6NG_AP2,40,ICM,I,5605,149.54,236.17,22.014,1361.9,7.63E+06,17.903,1.00E+05,36.564,2.05E+05,1866.6,1.05E+07,879.52,4.93E+06,
121118G6NG_AP2,41,TE,I,4870,158.64,154.52,24.11,1416.4,6.90E+06,144.42,7.03E+05,24.17,1.18E+05,1627.7,7.93E+06,55.915,2.72E+05,
121118G6NG_AP2,42,TE,I,7058,356.87,197.6,21.813,1259.9,8.89E+06,76.231,5.38E+05,26.28,1.85E+05,1478.8,1.04E+07,78.469,5.54E+05,
121118G6NG_AP2,43,ICM,I,5549,119.02,204.16,23.27,1368.2,7.59E+06,18.423,1.02E+05,40.803,2.26E+05,1622.2,9.00E+06,993.17,5.51E+06,
121118G6NG_AP2,44,ICM,I,4480,128.28,284.01,21.068,1085,4.86E+06,23.829,1.07E+05,404.67,1.81E+06,1603.6,7.18E+06,90.463,4.05E+05,
