Embryo Id,Cell ID,Identity,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, ,
050718Xim_WT_BC6,123,TE,I,5474,470.96,305.87,68.784,1224.4,6.70E+06,38.577,2.11E+05,21.815,1.19E+05,473.96,2.59E+06,263.21,1.44E+06,,
050718Xim_WT_BC6,124,TE,I,5891,356.61,435.75,69.965,1003.2,5.91E+06,528.7,3.11E+06,31.943,1.88E+05,468.65,2.76E+06,64.004,3.77E+05,,
050718Xim_WT_BC6,125,TE,I,7170,378.12,72.525,71.377,671.51,4.81E+06,28.275,2.03E+05,20.787,1.49E+05,470.61,3.37E+06,207.91,1.49E+06,,
050718Xim_WT_BC6,126,TE,I,6143,47.872,141.47,70.686,1200.5,7.37E+06,33.771,2.07E+05,42.476,2.61E+05,487.32,2.99E+06,113.61,6.98E+05,,
050718Xim_WT_BC6,127,ICM,I,3928,27.942,217.39,69.956,771.13,3.03E+06,36.263,1.42E+05,139.73,5.49E+05,414.25,1.63E+06,48.18,1.89E+05,,
050718Xim_WT_BC6,128,ICM,I,1248,45.571,254.25,66.754,764.17,9.54E+05,392.86,4.90E+05,33.442,41736,468.22,5.84E+05,168.53,2.10E+05,,
050718Xim_WT_BC6,129,TE,I,4358,449.53,349.84,70.056,1168.3,5.09E+06,192.62,8.39E+05,20.892,91048,462.09,2.01E+06,90.296,3.94E+05,,
050718Xim_WT_BC6,130,TE,I,6428,84.513,374.75,71.288,1162.9,7.48E+06,728.33,4.68E+06,32.57,2.09E+05,494.26,3.18E+06,94.954,6.10E+05,,
050718Xim_WT_BC6,131,ICM,I,6596,58.701,158.22,72.329,809.38,5.34E+06,34.569,2.28E+05,66.523,4.39E+05,420.53,2.77E+06,115.93,7.65E+05,,
050718Xim_WT_BC6,131.2,ICM,I,6596,44,161,74,937.013,,31.621,,175.086,,453.214,,55.112,,,
050718Xim_WT_BC6,132,TE,I,5741,492.87,258.18,73.248,1062.1,6.10E+06,37.194,2.14E+05,22.201,1.27E+05,471.63,2.71E+06,176.14,1.01E+06,,
050718Xim_WT_BC6,133,TE,I,5679,80.301,110.17,75.973,935.37,5.31E+06,28.342,1.61E+05,20.982,1.19E+05,487.99,2.77E+06,78.486,4.46E+05,,
050718Xim_WT_BC6,134,ICM,I,2794,41.042,187.43,70.662,749.62,2.09E+06,28.349,79207,116.29,3.25E+05,484.17,1.35E+06,53.922,1.51E+05,,
050718Xim_WT_BC6,135,TE,I,3892,51.827,202.66,74.267,584.04,2.27E+06,34.276,1.33E+05,27.539,1.07E+05,404.62,1.57E+06,152.08,5.92E+05,,
050718Xim_WT_BC6,136,TE,I,4024,240.28,38.841,77.392,745.8,3.00E+06,25.845,1.04E+05,16.592,66768,473.38,1.90E+06,168.34,6.77E+05,,
050718Xim_WT_BC6,137,ICM,I,1708,33.163,269.61,71.04,673.77,1.15E+06,63.383,1.08E+05,166.09,2.84E+05,409.6,7.00E+05,55.933,95534,,
050718Xim_WT_BC6,138,TE,I,5243,18.712,248.21,78.832,686.77,3.60E+06,34.83,1.83E+05,22.553,1.18E+05,383.33,2.01E+06,62.324,3.27E+05,,
050718Xim_WT_BC6,139,TE,I,4456,412.03,390.42,76.394,993.6,4.43E+06,787.76,3.51E+06,34.726,1.55E+05,499.23,2.22E+06,49.32,2.20E+05,,
