Embryo Id,Cell ID,Identity,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum
061218Xim_G6_BH12,109,TE,I,8697,131.97,321.18,93.794,122.64,1.07E+06,217.26,1.89E+06,18.778,1.63E+05,411.31,3.58E+06,22.016,1.91E+05
061218Xim_G6_BH12,110,TE,I,19164,282.5,393.84,99.656,204.57,3.92E+06,198.35,3.80E+06,19,3.64E+05,558.56,1.07E+07,30.598,5.86E+05
061218Xim_G6_BH12,111,TE,I,14847,434,208.57,97.798,248.85,3.69E+06,530.03,7.87E+06,29.049,4.31E+05,463.51,6.88E+06,30.153,4.48E+05
061218Xim_G6_BH12,112,TE,I,11822,414.27,320.44,101.45,448.07,5.30E+06,328.42,3.88E+06,24.557,2.90E+05,484.34,5.73E+06,53.879,6.37E+05
061218Xim_G6_BH12,114,TE,I,15258,359.2,134.15,102.99,345.76,5.28E+06,275.04,4.20E+06,21.798,3.33E+05,499.66,7.62E+06,29.944,4.57E+05
061218Xim_G6_BH12,115,TE,I,26522,179.36,362.69,101.45,125.74,3.34E+06,142.8,3.79E+06,17.079,4.53E+05,449.39,1.19E+07,24.748,6.56E+05
061218Xim_G6_BH12,116,TE,I,14606,401.29,201.64,112.89,207.29,3.03E+06,420.7,6.14E+06,25.198,3.68E+05,543.38,7.94E+06,31.163,4.55E+05
061218Xim_G6_BH12,117,TE,I,28262,180.96,200.96,113.05,122.98,3.48E+06,110.5,3.12E+06,15.495,4.38E+05,483.93,1.37E+07,20.92,5.91E+05
061218Xim_G6_BH12,119,TE,I,15988,392.91,274.21,115.78,187.88,3.00E+06,347.2,5.55E+06,22.635,3.62E+05,543.23,8.69E+06,25.019,4.00E+05
061218Xim_G6_BH12,121,TE,I,24015,225.26,284.72,120.38,184.56,4.43E+06,189.66,4.55E+06,18.398,4.42E+05,539.67,1.30E+07,46.17,1.11E+06
061218Xim_G6_BH12,122,TE,M,11096,311.77,222.94,123.61,485.01,5.38E+06,368.85,4.09E+06,22.236,2.47E+05,532.94,5.91E+06,24.761,2.75E+05
