Embryo Id,Cell ID,Size,Identity,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum
042617Xim_G6_AR2,97,7127,TE,360.64,272.09,68.605,465.14,3.32E+06,29.423,2.10E+05,62.908,4.48E+05,1003.4,7.15E+06,70.245,5.01E+05
042617Xim_G6_AR2,98,19182,TE,283.43,226.39,72.184,460.34,8.83E+06,219.29,4.21E+06,24.652,4.73E+05,1110.7,2.13E+07,84.71,1.62E+06
042617Xim_G6_AR2,99,11340,TE,223.43,236.76,71.742,166.63,1.89E+06,117.74,1.34E+06,19.009,2.16E+05,1047.3,1.19E+07,63.53,7.20E+05
042617Xim_G6_AR2,100,8824,TE,313.49,273.95,71.178,411.53,3.63E+06,33.448,2.95E+05,72.167,6.37E+05,1087.7,9.60E+06,90.761,8.01E+05
042617Xim_G6_AR2,101,7140,TE,331.48,324.41,71.097,452.25,3.23E+06,33.682,2.40E+05,46.504,3.32E+05,1146,8.18E+06,69.261,4.95E+05
042617Xim_G6_AR2,102,21858,TE,178.05,227.54,70.295,203.07,4.44E+06,173.93,3.80E+06,37.411,8.18E+05,869.88,1.90E+07,62.213,1.36E+06
042617Xim_G6_AR2,103,7223,TE,337.16,246.83,71.729,415.49,3.00E+06,29.854,2.16E+05,94.731,6.84E+05,1077.3,7.78E+06,67.175,4.85E+05
042617Xim_G6_AR2,104,9246,TE,357.44,341.76,68.866,396.98,3.67E+06,36.168,3.34E+05,51.914,4.80E+05,873.36,8.08E+06,67.707,6.26E+05
042617Xim_G6_AR2,105,8665,TE,352.16,300.68,72.696,347,3.01E+06,31.438,2.72E+05,31.742,2.75E+05,1103.9,9.56E+06,76.962,6.67E+05
042617Xim_G6_AR2,106,7337,TE,323.04,200.21,71.615,379.9,2.79E+06,34.566,2.54E+05,72.883,5.35E+05,1092.5,8.02E+06,90.67,6.65E+05
042617Xim_G6_AR2,107,722,TE,267.75,203.37,69.994,423.12,3.05E+05,226.25,1.63E+05,25.622,18499,1143.9,8.26E+05,98.148,70863
042617Xim_G6_AR2,108,9629,TE,387.46,236.08,74.597,406.11,3.91E+06,25.279,2.43E+05,51.084,4.92E+05,971.98,9.36E+06,31.365,3.02E+05
042617Xim_G6_AR2,109,5027,TE,353.08,218.62,74.049,304.87,1.53E+06,33.656,1.69E+05,76.159,3.83E+05,978.48,4.92E+06,82.064,4.13E+05
