Exp_date,Img_date,Experiment,Litter,Embryo_ID,Gene1,Genotype1,Gene2,Genotype2,Gene3,Genotype3,Background,Treatment,target,target_t0,target_killed,Tt_stage,Cellcount_t0,Recovery,Cell_diff,Experimenter,MINS_correct
20170403,20170419,040317Abl_R,R,040317Abl_R9,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,JPH
20170403,20170419,040317Abl_R,R,040317Abl_R10,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,JPH
20170403,20170419,040317Abl_R,R,040317Abl_R11,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,JPH
20170403,20170622,040317Abl_S,S,040317Abl_S1,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,17,8,tbd,,24h,kill_all,NS,JPH
20170403,20170622,040317Abl_S,S,040317Abl_S2,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,17,8,tbd,,24h,kill_all,NS,JPH
20170403,20170622,040317Abl_S,S,040317Abl_S3,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,20,10,tbd,,24h,kill_all,NS,JPH
20170403,20170622,040317Abl_S,S,040317Abl_S4,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,17,8,tbd,,24h,kill_all,NS,JPH
20170403,20170622,040317Abl_S,S,040317Abl_S5,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,19,10,tbd,,24h,kill_all,NS,JPH
20170403,20170622,040317Abl_S,S,040317Abl_S6,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,JPH
20170403,20170622,040317Abl_S,S,040317Abl_S7,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,JPH
20170403,20170622,040317Abl_S,S,040317Abl_S8,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,JPH
20170403,20170622,040317Abl_S,S,040317Abl_S9,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,JPH
20170403,20170622,040317Abl_T,T,040317Abl_T1,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,13,3,tbd,,24h,kill_0.25,NS,JPH
20170403,20170622,040317Abl_T,T,040317Abl_T2,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,15,4,tbd,,24h,kill_0.25,NS,JPH
20170403,20170622,040317Abl_T,T,040317Abl_T3,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,JPH
20170403,20170622,040317Abl_T,T,040317Abl_T4,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,JPH
20170403,20170622,040317Abl_T,T,040317Abl_T5,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,JPH
20170403,20170622,040317Abl_T,T,040317Abl_T6,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,JPH
20170405,20170626,040517Abl_U,U,040517Abl_U1,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,20,5,tbd,,24h,kill_0.5,NS,JPH
20170405,20170626,040517Abl_U,U,040517Abl_U2,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,16,4,tbd,,24h,kill_0.5,NS,JPH
20170405,20170626,040517Abl_U,U,040517Abl_U3,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,14,4,tbd,,24h,kill_0.5,NS,JPH
