Exp_date,Img_date,Experiment,Litter,Embryo_ID,Gene1,Genotype1,Gene2,Genotype2,ESC_line,Treatment,ES_culture,H_cells,D_cells,Culture_time,Tt_stage,ESC_t0,Cre,Technique,Experimenter,MINS_correct
20160719,20160727,071916Xim_WT_T,T,071816Xim_T6,Fgf4,WT,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,none,Aggregation,NS,HG
20160719,20160727,071916Xim_WT_T,T,071816Xim_T7,Fgf4,WT,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,none,Aggregation,NS,HG
20160719,20160727,071916Xim_WT_T,T,071816Xim_T8,Fgf4,WT,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,none,Aggregation,NS,HG
20160719,20160727,071916Xim_WT_T,T,071816Xim_T9,Fgf4,WT,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,none,Aggregation,NS,HG
20160719,20160727,071916Xim_WT_T,T,071816Xim_T10,Fgf4,WT,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,none,Aggregation,NS,HG
20160719,20160727,071916Xim_WT_T,T,071816Xim_T11,Fgf4,WT,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,none,Aggregation,NS,HG
20160719,20160727,071916Xim_WT_T,T,071816Xim_T12,Fgf4,WT,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,none,Aggregation,NS,HG
20160720,20160727,072016Xim_F4KO_U,U,072016Xim_F4KO_U1,Fgf4,unknown,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Zp3:Cre,Aggregation,NS,
20160720,20160727,072016Xim_F4KO_U,U,072016Xim_F4KO_U2,Fgf4,F4_KO,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Zp3:Cre,Aggregation,NS,
20160720,20160727,072016Xim_F4KO_U,U,072016Xim_F4KO_U3,Fgf4,F4FL_FL,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Zp3:Cre,Aggregation,NS,
20160720,20160727,072016Xim_F4KO_U,U,072016Xim_F4KO_U4,Fgf4,F4FL_FL,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Zp3:Cre,Aggregation,NS,
20160720,20160727,072016Xim_F4KO_U,U,072016Xim_F4KO_U5,Fgf4,F4_KO,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Zp3:Cre,Aggregation,NS,
20160720,20160727,072016Xim_F4KO_U,U,072016Xim_F4KO_U6,Fgf4,F4_KO,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Zp3:Cre,Aggregation,NS,
20160720,20160727,072016Xim_F4KO_U,U,072016Xim_F4KO_U7,Fgf4,F4FL_KO,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Zp3:Cre,Aggregation,NS,
20160720,20160727,072016Xim_F4KO_U,U,072016Xim_F4KO_U8,Fgf4,F4FL_FL,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Zp3:Cre,Aggregation,NS,NS
20170331,20170418,033117Xim_F4KO_AC,AC,033117Xim_F4KO_AC1,Fgf4,F4_KO,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Gdf9:iCre,Aggregation,NS,NS
20170331,20170418,033117Xim_F4KO_AC,AC,033117Xim_F4KO_AC2,Fgf4,F4_KO,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Gdf9:iCre,Aggregation,NS,NS
20170331,20170418,033117Xim_F4KO_AC,AC,033117Xim_F4KO_AC3,Fgf4,F4FL_KO,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Gdf9:iCre,Aggregation,NS,NS
20170331,20170418,033117Xim_F4KO_AC,AC,033117Xim_F4KO_AC4,Fgf4,F4FL_KO,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Gdf9:iCre,Aggregation,NS,NS
20170331,20170418,033117Xim_F4KO_AC,AC,033117Xim_F4KO_AC5,Fgf4,F4FL_FL,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Gdf9:iCre,Aggregation,NS,NS
20170331,20170418,033117Xim_F4KO_AC,AC,033117Xim_F4KO_AC6,Fgf4,F4FL_KO,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Gdf9:iCre,Aggregation,NS,NS
20170331,20170418,033117Xim_F4KO_AC,AC,033117Xim_F4KO_AC7,Fgf4,tbd,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Gdf9:iCre,Aggregation,NS,
20170405,20170419,040517Xim_F4KO_AD,AD,040517Xim_F4KO_AD1,Fgf4,F4FL_FL,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Gdf9:iCre,Aggregation,NS,NS
20170405,20170419,040517Xim_F4KO_AD,AD,040517Xim_F4KO_AD2,Fgf4,F4FL_KO,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Gdf9:iCre,Aggregation,NS,NS
20170405,20170419,040517Xim_F4KO_AD,AD,040517Xim_F4KO_AD3,Fgf4,F4_KO,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Gdf9:iCre,Aggregation,NS,NS
20170405,20170419,040517Xim_F4KO_AD,AD,040517Xim_F4KO_AD4,Fgf4,F4_KO,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Gdf9:iCre,Aggregation,NS,NS
20170405,20170419,040517Xim_F4KO_AD,AD,040517Xim_F4KO_AD5,Fgf4,F4FL_KO,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Gdf9:iCre,Aggregation,NS,NS
20170407,20170419,040717Xim_F4KO_AE,AE,040717Xim_F4KO_AE1,Fgf4,F4_KO,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Gdf9:iCre,Aggregation,NS,NS
20170407,20170419,040717Xim_F4KO_AE,AE,040717Xim_F4KO_AE2,Fgf4,F4FL_KO,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Gdf9:iCre,Aggregation,NS,NS
