Exp_date,Img_date,Experiment,Litter,Embryo_ID,H_genotype,D_genotype,Treatment,H_cells,D_cells,Tt_stage,Embryo_size,Experimenter,MINS_correct
20170209,20170221,020917Xim_WT_AJ,AJ,020917Xim_WT_AJ10,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,HG
20170209,20170221,020917Xim_WT_AJ,AJ,020917Xim_WT_AJ11,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,HG
20170209,20170221,020917Xim_WT_AJ,AJ,020917Xim_WT_AJ12,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,HG
20170209,20170221,020917Xim_WT_AJ,AJ,020917Xim_WT_AJ13,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,HG
20170209,20170221,020917Xim_WT_AJ,AJ,020917Xim_WT_AJ14,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,HG
20170209,20170221,020917Xim_WT_AJ,AJ,020917Xim_WT_AJ15,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,HG
20170224,20170321,022417Xim_WT_AK,AK,022417Xim_WT_AK1,wt,CAG:H2B-GFP,Chimera,8,8,8cell,Double,NS,HG
20170224,20170321,022417Xim_WT_AK,AK,022417Xim_WT_AK2,wt,CAG:H2B-GFP,Chimera,8,8,8cell,Double,NS,HG
20170224,20170321,022417Xim_WT_AK,AK,022417Xim_WT_AK3,wt,CAG:H2B-GFP,Chimera,8,8,8cell,Double,NS,HG
20170224,20170321,022417Xim_WT_AK,AK,022417Xim_WT_AK4,het,NA,Control,8,0,8cell,Single,NS,HG
20170224,20170321,022417Xim_WT_AK,AK,022417Xim_WT_AK5,wt,NA,Control,8,0,8cell,Single,NS,HG
20170224,20170321,022417Xim_WT_AK,AK,022417Xim_WT_AK6,wt,NA,Control,8,0,8cell,Single,NS,HG
20170224,20170321,022417Xim_WT_AK,AK,022417Xim_WT_AK7,wt,NA,Control,8,0,8cell,Single,NS,HG
20170224,20170321,022417Xim_WT_AK,AK,022417Xim_WT_AK8,het,NA,Control,8,0,8cell,Single,NS,HG
20170224,20170321,022417Xim_WT_AK,AK,022417Xim_WT_AK9,unknown,NA,Control,8,0,8cell,Single,NS,HG
20170224,20170321,022417Xim_WT_AK,AK,022417Xim_WT_AK10,ko,NA,Control,8,0,8cell,Single,NS,HG
20170224,20170321,022417Xim_WT_AK,AK,022417Xim_WT_AK11,unknown,NA,Control,8,0,8cell,Single,NS,HG
