"","Experiment","Treatment","Genotype1","CH2","CH3","CH5"
"185","121018Abl_EC","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"186","121018Abl_EC","Control","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"187","121018Abl_EC","Littermate","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"188","121718Abl_ED","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"189","121718Abl_ED","Control","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"190","121718Abl_ED","Random","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"191","121818Abl_EE","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"192","121818Abl_EE","Control","het","GFP","NANOG.rb","GATA6.gt"
"193","121818Abl_EE","Control","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"194","121818Abl_EE","Random","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"195","121917Abl_CD","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"196","121917Abl_CD","Control","het","GFP","NANOG.rb","GATA6.gt"
"197","121917Abl_CD","Littermate","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"198","121917Abl_CE","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"199","121917Abl_CE","Control","het","GFP","NANOG.rb","GATA6.gt"
"200","121917Abl_CE","Littermate","wt","NANOG.rat","GATA4.rb","GATA6.gt"
